Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-01-30,1064.4132886312711,1082.764407064242,1050.3987961919847,1077.218017578125,21772103.0,1088.8266357421876,1106.4656494140625,1131.2260131835938,12.804728946853857,0.9583559952507814,32.36561087225732,0,1074.5245361328125,0
2023-01-31,1087.3749062182635,1089.9541811505658,1068.6585300710096,1074.5245361328125,22691594.0,1081.8468017578125,1102.3457641601562,1126.1577575683593,-12.850370085451004,-0.25004051188896037,21.295651079556137,1,1068.156494140625,0
2023-02-01,1086.43914786492,1086.43914786492,1052.2246622437708,1068.156494140625,19347800.0,1074.9034912109375,1096.0050170898437,1121.201348876953,-18.28265372429496,-0.5926381183538054,34.21448562114915,2,1062.244873046875,0
2023-02-02,1058.1591593362568,1071.8540341073915,1054.9637127057106,1062.244873046875,13662663.0,1069.8272705078125,1089.2602905273438,1116.8281127929688,4.085713710618165,-0.5534414784891695,16.89032140168092,3,1063.1805419921875,1
2023-02-03,1072.3104574781505,1072.3104574781505,1046.7466458186898,1063.1805419921875,24699575.0,1069.064892578125,1082.7301025390625,1112.6043762207032,-9.12991548596301,0.08808411027003693,25.563811659460725,4,1055.1690673828125,0
2023-02-06,1056.7896118119152,1059.528634971871,1052.5899131464937,1055.1690673828125,14837879.0,1064.6551025390625,1076.740869140625,1107.458514404297,-1.6205444291026652,-0.7535384906841025,6.938721825377343,0,1052.6356201171875,0
2023-02-07,1055.4202857843334,1062.4502927137798,1046.7467924098464,1052.6356201171875,15135435.0,1060.2773193359376,1071.062060546875,1100.8187744140625,-2.784665667145873,-0.24009870493160168,15.703500303933424,1,1073.6572265625,1
2023-02-08,1055.8766387784026,1077.2863960062462,1053.137736379797,1073.6572265625,21160332.0,1061.3774658203124,1068.140478515625,1096.106591796875,17.780587784097406,1.9970449454268069,24.148659626449216,2,1075.5289306640625,1
2023-02-09,1074.3421090421186,1082.2850839057578,1065.4632246870067,1075.5289306640625,13172763.0,1064.03427734375,1066.9307739257813,1092.2240905761719,1.1868216219438636,0.17432976328535243,16.821859218751115,3,1066.6728515625,0
2023-02-10,1075.0039060071294,1075.0039060071294,1059.6655455942528,1066.6728515625,10790445.0,1064.7327392578125,1066.8988159179687,1089.1438842773437,-8.331054444629444,-0.8234161675311213,15.338360412876682,4,1060.6014404296875,0
